Judul Berita,PC1_2D,PC2_2D,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
Kemenkes Perkuat Program Deteksi Dini Penyakit Tidak Menular,0.005581308033150387,0.08070285819543435,0.005581308033150387,0.08070285819543435,0.41962661962642256,-0.23872568960860985,-0.1575028564335992,0.00037745644589647624,0.18401604605965524,-0.12528157176609098,-0.2405726329435734,0.2518774346724822,0.27572526977904466,0.06985139189248359,0.001211018971567969,0.013290614292887326,0.09777555556789096,-0.004654043520998882,-0.026521642855713828,0.3397639120085975,-0.07387402990284203,-0.2205457756011248,-0.14881222079018674,0.0091544024952274,0.03869642986398637,0.027002009338156826,0.033746101207454186,-0.11076264878146296,0.07431391289715857,0.004830447225193158,-0.26485346524446557,0.1503972849936366,-0.05415673491360702,-0.11602477654342573,-0.09463458715691334,0.016130756736313815,0.2690807329497611
Manfaat Meditasi untuk Kesehatan Mental dan Fisik,-0.35293242934674546,-0.30036848424737206,-0.35293242934674546,-0.30036848424737206,-0.03591774323395302,-0.012901206280161573,0.14849632586424832,0.05222756475445771,-0.09564892436239684,-0.1751466450264101,0.08350359684116691,-0.02032288525019887,0.06436410464738596,-0.36907022275061574,0.1512667430340086,-0.01796622470648747,0.045708987581228655,0.05688693145268329,0.06004700831093884,0.04063771435443742,0.008254498816526307,-0.04611660394975307,-0.16935167038363833,-0.2913478637835508,0.060937737309715266,-0.4499331092356365,-0.03962826142410325,-0.011726856788830597,0.11589308459273137,0.13790978112331412,0.06664092634793037,0.023889594014087013,-0.02502686962729435,0.032623041734430404,-0.03811381007107989,0.12703890866132067,-0.03574061625007598
Ini Alasan Pentingnya Sarapan Sehat Sebelum Beraktivitas,-0.21231453510462617,-0.13355038363929647,-0.21231453510462617,-0.13355038363929647,0.21517619234695018,-0.18207473199187416,-0.07122096625204398,0.07029128708454231,0.039830000482395704,0.09536351258943895,0.20468776178363338,-0.06883512542705286,-0.31382649120752176,0.0698212828654014,0.09217533314912875,-0.20593024915695451,0.18516117086352843,0.10126836175684706,-0.08486969193863707,-0.25442823668701603,-0.11599233198632822,0.11471404216977202,0.4346261343503291,-0.2084272186506812,-0.02873531289235244,0.04290679610883602,-0.2666777697499335,-0.1510592832090919,0.08320567775647768,-0.10700555882857353,-0.18426623763246056,0.19779540818107402,-0.03760738039879815,-0.07338116041019348,0.04592280360374523,0.03444839065663829,0.08675408372164378
Waspadai Gejala Dehidrasi saat Cuaca Panas Ekstrem,0.37430747200569203,-0.1395695970351306,0.37430747200569203,-0.1395695970351306,0.04010682010409035,-0.06267201141318901,0.1563981543025729,-0.16895174050309533,-0.023784347558403477,-0.20244480899094086,0.05338231081074164,-0.16804848490020688,-0.2533357610660118,-0.014207008153971894,-0.08926105236311593,-0.11464263749017861,-0.10560212797015646,0.275796647092582,-0.009778040916682565,0.14988910514445494,0.2756801266498316,-0.14042858398319996,-0.12556535978253464,0.06379947262939105,0.1461997887027895,0.11086750432160505,-0.22125218932558222,-0.4319301206611148,-0.2314457462809193,0.15070630326148463,0.10299224985668155,0.0398727541033794,0.0503697655679814,0.036273965283940335,-0.020619187786067816,-0.029361273812367094,-0.02345718271704536
Dokter Anak Ingatkan Bahaya Gadget Berlebihan bagi Tumbuh Kembang,-0.014938815055257418,0.33906321925184874,-0.014938815055257418,0.33906321925184874,-0.33302621998502085,-0.23246769415851506,0.13339127417857574,-0.10820993390436437,0.13562952939135797,0.26287749768167545,-0.20402222548010077,-0.08481954215576697,-0.050429006337942346,-0.06982000421987994,0.20424173337440596,-0.17092300811492525,0.1937975701915533,-0.006593310527972054,0.15079511196509518,-0.02791573143323763,0.10285510801189605,-0.10357038459029888,-0.08685398991786777,0.03955221579253133,-0.2212692054395722,-0.08168501652062833,-0.044862786069579136,0.08592388590801085,-0.226026606294313,-0.07592774747930406,0.06189966008326105,0.05798346594739579,-0.1613778946406657,0.04114562657023501,-0.1352729880643779,-0.0208892794865691,0.1424580805733422
Studi Baru Ungkap Hubungan Pola Makan dengan Kesehatan Otak,-0.0799184166785209,-0.18109972405036484,-0.0799184166785209,-0.18109972405036484,-0.09183794377110872,0.2888867084992358,0.19733264157719307,0.2180851434375537,0.46505256746507834,0.055288391296863144,0.17283042068665352,0.2878936984737357,-0.0042719724029194,0.20521863295594625,-0.04696913319920563,-0.1435517385263413,0.044254053736534515,0.002490823324632889,-0.0513814341029579,-0.004941870063250091,0.058572065835687484,0.2085329575427323,-0.11174965148492348,0.04237616012135307,-0.06446822000015927,0.05818031584723113,-0.06436037269449284,-0.020444274819149365,0.0486548713440151,0.21748205172883556,0.02368269931207669,-0.12620706304671597,-0.22059415271599817,-0.15586413865164672,-0.0045698708221456625,0.027749336267811717,-0.020027684254070272
Cara Mencegah Penularan TBC di Lingkungan Rumah,0.14449224676916908,-0.04844011672863572,0.14449224676916908,-0.04844011672863572,0.24311068235166441,0.005464418588877577,-0.1467625076725551,0.14086233131324918,0.057195735755430424,0.20848904246508632,-0.27154936005310926,0.07440704497961577,0.35033468065794515,-0.1113227565377912,0.06434298777807397,0.038664327722393,-0.23890114031258958,0.12369668693209898,0.0740743412875336,-0.1968218333441093,0.4716950548978738,-0.1842306775640862,0.14500041682238055,-0.28780164413226256,-0.05582064128784194,0.13397607150171675,-0.09213852713025053,0.08405034933865604,0.11583819591448294,0.026069767477678318,-0.05127763461378508,-0.05592366362090341,0.014145286118881415,-0.04914771845969566,0.012365457685532379,-0.0253037044754163,-0.1780071347512976
Kenali Tanda-tanda Kelelahan Kerja atau Burnout,0.12399582142333804,-0.17823020662955355,0.12399582142333804,-0.17823020662955355,-0.07260224077965931,0.023360187470732333,-0.14390286405277586,-0.061967866729645736,-0.07345206446276638,0.05211705068314686,0.03849489021762762,0.030795785949930557,0.026866239413691765,0.012110176323375247,-0.18804391648992594,0.42030919924363086,0.4617600385053986,-0.16065530689047483,0.5226320820691285,-0.02917414925802502,0.028004359231856707,-0.03841519211719103,0.20099838575013534,0.15036618819940778,0.02985505113333276,0.055633202519427945,-0.06001955735121058,-0.01400555765887631,0.03586141159446751,0.2728387004036039,0.029518448038025988,0.08793619093583263,0.02050886322978072,0.0024512883548998346,0.004061732579064407,0.004822149089768924,-0.04474152072651836
Manfaat Yoga untuk Fleksibilitas dan Kesehatan Tulang,-0.30273172551819405,-0.2290753653136308,-0.30273172551819405,-0.2290753653136308,0.027142567495206257,0.003748480502336583,0.23520855359402668,0.10393517886921565,-0.06322794472055844,-0.1360868294492599,0.06601414617554995,-0.10305893167841852,0.05971528842763863,-0.33492872609120655,0.17895838590870933,-0.017786919494835955,0.018419147045839378,0.044101035915978616,0.08506421324126233,0.08768801074048004,-0.16991731230767923,-0.06686255865710397,0.02236941653665176,-0.11731729169252296,-0.1034535757286225,0.5896512573945326,0.2421711691133232,0.01846997379505089,-0.053871439087014715,0.03573008941445441,0.12989877813323905,-0.020799840730957617,-0.08943280241974995,0.08941589712494634,0.10368326914692817,-0.04908984558620759,0.1094975259549493
Peneliti Temukan Kaitan Kurang Gerak dengan Risiko Diabetes,-0.026822319434604173,0.25757784138601475,-0.026822319434604173,0.25757784138601475,0.17864063181805098,0.4687843127610004,-0.021511722289147675,-0.36723898412597084,-0.2608633010993291,-0.017514465475544545,0.1244834964664959,0.12706666480855094,0.01202319864556522,0.12205579817214993,0.024218344465872416,0.018355981401915026,0.10705376450399894,0.052154144891038035,-0.12493717316246745,0.11079428997797015,-0.006801052022019644,-0.07155405308686338,0.11426534911436001,-0.2522157787321284,-0.21482377995358798,-0.029249848363606064,0.06522923850839824,0.009937049352227157,-0.08280694988784981,0.011767881767637522,0.17301735464999415,0.042447493592100885,-0.11028287848297862,0.07852074125771111,-0.16957082503138016,0.13717656441723078,-0.15644422597840682
